	long	lat	QOL
0	41.14	-8.619499999999997	0.27729119132728486
1	41.14	-8.618749999999997	0.25071387381076427
2	41.14	-8.617999999999997	0.22890156306819193
3	41.14	-8.617249999999997	0.20072950105383613
4	41.14	-8.616499999999998	0.1831024902826989
5	41.14	-8.615749999999998	0.17438855330271824
6	41.14	-8.614999999999998	0.19463556620130207
7	41.14	-8.614249999999998	0.21279899376630304
8	41.14	-8.613499999999998	0.24247773093984323
9	41.14	-8.612749999999998	0.27760387817643817
10	41.14	-8.611999999999998	0.2792197928779975
11	41.14	-8.611249999999998	0.262230738508321
12	41.14	-8.610499999999996	0.24945595101287066
13	41.14	-8.596999999999996	0.437159945692473
14	41.14	-8.596249999999996	0.4208416612710013
15	41.14	-8.595499999999996	0.42762311925740104
16	41.14	-8.594749999999996	0.45321814317684933
17	41.14	-8.593999999999996	0.4891201909088397
18	41.14	-8.593249999999996	0.5217458345963019
19	41.14	-8.592499999999996	0.5387319630106657
20	41.14	-8.591749999999996	0.5568990010764094
21	41.14	-8.590999999999996	0.5834112159166562
22	41.14	-8.590249999999996	0.6331993476830845
23	41.14075	-8.620249999999997	0.2585628809282224
24	41.14075	-8.619499999999997	0.22724889050314692
25	41.14075	-8.618749999999997	0.1933227338190567
26	41.14075	-8.617999999999997	0.17789460573464805
27	41.14075	-8.617249999999997	0.1539749777604313
28	41.14075	-8.616499999999998	0.14260160538880304
29	41.14075	-8.615749999999998	0.14138651815125988
30	41.14075	-8.614999999999998	0.1662897302236464
31	41.14075	-8.614249999999998	0.1788403260261938
32	41.14075	-8.613499999999998	0.20715593688586645
33	41.14075	-8.612749999999998	0.24233986980275213
34	41.14075	-8.611999999999998	0.25022364494109123
35	41.14075	-8.611249999999998	0.23574992144135332
36	41.14075	-8.610499999999996	0.21457665898858724
37	41.14075	-8.609749999999996	0.22173108310381934
38	41.14075	-8.608999999999996	0.24584652140665358
39	41.14075	-8.608249999999996	0.28120359056827643
40	41.14075	-8.607499999999996	0.2858035070500986
41	41.14075	-8.606749999999996	0.28796209746413026
42	41.14075	-8.605999999999996	0.3018829838975866
43	41.14075	-8.598499999999996	0.4138635569506412
44	41.14075	-8.597749999999996	0.4267610532126557
45	41.14075	-8.596999999999996	0.4081199346783309
46	41.14075	-8.596249999999996	0.3931104836871698
47	41.14075	-8.595499999999996	0.3933425659094336
48	41.14075	-8.594749999999996	0.41545583192104607
49	41.14075	-8.593999999999996	0.45121921256286057
50	41.14075	-8.593249999999996	0.4881865924459843
51	41.14075	-8.592499999999996	0.5095076775520739
52	41.14075	-8.591749999999996	0.5298937090785686
53	41.14075	-8.590999999999996	0.5611013417745183
54	41.14075	-8.590249999999996	0.6088377822559872
55	41.14075	-8.589499999999996	0.661357363356514
56	41.14075	-8.588749999999996	0.7094582912726042
57	41.14075	-8.575999999999995	0.9759976761079514
58	41.14149999999999	-8.621749999999997	0.3049164994330672
59	41.14149999999999	-8.620999999999997	0.2600790854134037
60	41.14149999999999	-8.620249999999997	0.214478719181973
61	41.14149999999999	-8.619499999999997	0.18216011659249554
