lat,long
41.14,-8.619499999999913
41.14,-8.618999999999913
41.14,-8.618499999999912
41.14,-8.617999999999912
41.14,-8.617499999999911
41.14,-8.61699999999991
41.14,-8.61649999999991
41.14,-8.615999999999909
41.14,-8.615499999999908
41.14,-8.614999999999908
41.14,-8.614499999999907
41.14,-8.613999999999907
41.14,-8.613499999999906
41.14,-8.612999999999905
41.14,-8.612499999999905
41.14,-8.611999999999904
41.14,-8.611499999999904
41.14,-8.610999999999903
41.14,-8.610499999999902
41.14,-8.609999999999902
41.14,-8.596999999999886
41.14,-8.596499999999885
41.14,-8.595999999999885
41.14,-8.595499999999884
41.14,-8.594999999999883
41.14,-8.594499999999883
41.14,-8.593999999999882
41.14,-8.593499999999882
41.14,-8.592999999999881
41.14,-8.59249999999988
41.14,-8.59199999999988
41.14,-8.59149999999988
41.14,-8.590999999999879
41.14,-8.590499999999878
41.1405,-8.620499999999915
41.1405,-8.619999999999914
41.1405,-8.619499999999913
41.1405,-8.618999999999913
41.1405,-8.618499999999912
41.1405,-8.617999999999912
41.1405,-8.617499999999911
41.1405,-8.61699999999991
41.1405,-8.61649999999991
41.1405,-8.615999999999909
41.1405,-8.615499999999908
41.1405,-8.614999999999908
41.1405,-8.614499999999907
41.1405,-8.613999999999907
41.1405,-8.613499999999906
41.1405,-8.612999999999905
41.1405,-8.612499999999905
41.1405,-8.611999999999904
41.1405,-8.611499999999904
41.1405,-8.610999999999903
41.1405,-8.610499999999902
41.1405,-8.609999999999902
41.1405,-8.609499999999901
41.1405,-8.6089999999999
41.1405,-8.6084999999999
41.1405,-8.6079999999999
41.1405,-8.607499999999899
41.1405,-8.597999999999887
41.1405,-8.597499999999886
41.1405,-8.596999999999886
41.1405,-8.596499999999885
41.1405,-8.595999999999885
41.1405,-8.595499999999884
41.1405,-8.594999999999883
41.1405,-8.594499999999883
41.1405,-8.593999999999882
41.1405,-8.593499999999882
41.1405,-8.592999999999881
41.1405,-8.59249999999988
41.1405,-8.59199999999988
41.1405,-8.59149999999988
41.1405,-8.590999999999879
41.1405,-8.590499999999878
41.1405,-8.589999999999877
41.1405,-8.589499999999877
41.1405,-8.588999999999876
41.1405,-8.57599999999986
41.1405,-8.57549999999986
41.141000000000005,-8.620999999999915
41.141000000000005,-8.620499999999915
41.141000000000005,-8.619999999999914
41.141000000000005,-8.619499999999913
41.141000000000005,-8.618999999999913
41.141000000000005,-8.618499999999912
41.141000000000005,-8.617999999999912
41.141000000000005,-8.617499999999911
41.141000000000005,-8.61699999999991
41.141000000000005,-8.61649999999991
41.141000000000005,-8.615999999999909
41.141000000000005,-8.615499999999908
41.141000000000005,-8.614999999999908
41.141000000000005,-8.614499999999907
41.141000000000005,-8.613999999999907
41.141000000000005,-8.613499999999906
41.141000000000005,-8.612999999999905
41.141000000000005,-8.612499999999905
41.141000000000005,-8.611999999999904
41.141000000000005,-8.611499999999904
41.141000000000005,-8.610999999999903
41.141000000000005,-8.610499999999902
41.141000000000005,-8.609999999999902
41.141000000000005,-8.609499999999901
41.141000000000005,-8.6089999999999
41.141000000000005,-8.6084999999999
41.141000000000005,-8.6079999999999
41.141000000000005,-8.607499999999899
41.141000000000005,-8.606999999999898
41.141000000000005,-8.606499999999897
41.141000000000005,-8.605999999999897
41.141000000000005,-8.605499999999896
41.141000000000005,-8.604999999999896
41.141000000000005,-8.604499999999895
41.141000000000005,-8.603999999999894
41.141000000000005,-8.603499999999894
41.141000000000005,-8.602999999999893
41.141000000000005,-8.602499999999893
41.141000000000005,-8.601999999999892
41.141000000000005,-8.601499999999891
41.141000000000005,-8.60099999999989
41.141000000000005,-8.60049999999989
41.141000000000005,-8.59999999999989
41.141000000000005,-8.599499999999889
41.141000000000005,-8.598999999999888
41.141000000000005,-8.598499999999888
41.141000000000005,-8.597999999999887
41.141000000000005,-8.597499999999886
41.141000000000005,-8.596999999999886
41.141000000000005,-8.596499999999885
41.141000000000005,-8.595999999999885
41.141000000000005,-8.595499999999884
41.141000000000005,-8.594999999999883
41.141000000000005,-8.594499999999883
41.141000000000005,-8.593999999999882
41.141000000000005,-8.593499999999882
41.141000000000005,-8.592999999999881
41.141000000000005,-8.59249999999988
41.141000000000005,-8.59199999999988
41.141000000000005,-8.59149999999988
41.141000000000005,-8.590999999999879
41.141000000000005,-8.590499999999878
41.141000000000005,-8.589999999999877
41.141000000000005,-8.589499999999877
41.141000000000005,-8.588999999999876
41.141000000000005,-8.588499999999875
41.141000000000005,-8.587999999999875
41.141000000000005,-8.57649999999986
41.141000000000005,-8.57599999999986
41.141000000000005,-8.57549999999986
41.14150000000001,-8.621499999999916
41.14150000000001,-8.620999999999915
41.14150000000001,-8.620499999999915
41.14150000000001,-8.619999999999914
41.14150000000001,-8.619499999999913
41.14150000000001,-8.618999999999913
41.14150000000001,-8.618499999999912
41.14150000000001,-8.617999999999912
41.14150000000001,-8.617499999999911
41.14150000000001,-8.61699999999991
41.14150000000001,-8.61649999999991
41.14150000000001,-8.615999999999909
41.14150000000001,-8.615499999999908
41.14150000000001,-8.614999999999908
41.14150000000001,-8.614499999999907
41.14150000000001,-8.613999999999907
41.14150000000001,-8.613499999999906
41.14150000000001,-8.612999999999905
41.14150000000001,-8.612499999999905
41.14150000000001,-8.611999999999904
41.14150000000001,-8.611499999999904
41.14150000000001,-8.610999999999903
41.14150000000001,-8.610499999999902
41.14150000000001,-8.609999999999902
41.14150000000001,-8.609499999999901
41.14150000000001,-8.6089999999999
41.14150000000001,-8.6084999999999
41.14150000000001,-8.6079999999999
41.14150000000001,-8.607499999999899
41.14150000000001,-8.606999999999898
41.14150000000001,-8.606499999999897
41.14150000000001,-8.605999999999897
41.14150000000001,-8.605499999999896
41.14150000000001,-8.604999999999896
41.14150000000001,-8.604499999999895
41.14150000000001,-8.603999999999894
41.14150000000001,-8.603499999999894
41.14150000000001,-8.602999999999893
41.14150000000001,-8.602499999999893
41.14150000000001,-8.601999999999892
41.14150000000001,-8.601499999999891
41.14150000000001,-8.60099999999989
41.14150000000001,-8.60049999999989
41.14150000000001,-8.59999999999989
41.14150000000001,-8.599499999999889
41.14150000000001,-8.598999999999888
41.14150000000001,-8.598499999999888
41.14150000000001,-8.597999999999887
41.14150000000001,-8.597499999999886
41.14150000000001,-8.596999999999886
41.14150000000001,-8.596499999999885
41.14150000000001,-8.595999999999885
41.14150000000001,-8.595499999999884
41.14150000000001,-8.594999999999883
41.14150000000001,-8.594499999999883
41.14150000000001,-8.593999999999882
41.14150000000001,-8.593499999999882
41.14150000000001,-8.592999999999881
41.14150000000001,-8.59249999999988
41.14150000000001,-8.59199999999988
41.14150000000001,-8.59149999999988
41.14150000000001,-8.590999999999879
41.14150000000001,-8.590499999999878
41.14150000000001,-8.589999999999877
41.14150000000001,-8.589499999999877
41.14150000000001,-8.588999999999876
41.14150000000001,-8.588499999999875
41.14150000000001,-8.587999999999875
41.14150000000001,-8.587499999999874
41.14150000000001,-8.586999999999874
41.14150000000001,-8.576999999999861
41.14150000000001,-8.57649999999986
41.14150000000001,-8.57599999999986
41.14150000000001,-8.57549999999986
41.14150000000001,-8.574999999999859
41.14200000000001,-8.622499999999917
41.14200000000001,-8.621999999999916
41.14200000000001,-8.621499999999916
41.14200000000001,-8.620999999999915
41.14200000000001,-8.620499999999915
41.14200000000001,-8.619999999999914
41.14200000000001,-8.619499999999913
41.14200000000001,-8.618999999999913
41.14200000000001,-8.618499999999912
41.14200000000001,-8.617999999999912
41.14200000000001,-8.617499999999911
41.14200000000001,-8.61699999999991
41.14200000000001,-8.61649999999991
41.14200000000001,-8.615999999999909
41.14200000000001,-8.615499999999908
41.14200000000001,-8.614999999999908
41.14200000000001,-8.614499999999907
41.14200000000001,-8.613999999999907
41.14200000000001,-8.613499999999906
41.14200000000001,-8.612999999999905
41.14200000000001,-8.612499999999905
41.14200000000001,-8.611999999999904
41.14200000000001,-8.611499999999904
41.14200000000001,-8.610999999999903
41.14200000000001,-8.610499999999902
41.14200000000001,-8.609999999999902
41.14200000000001,-8.609499999999901
41.14200000000001,-8.6089999999999
41.14200000000001,-8.6084999999999
41.14200000000001,-8.6079999999999
41.14200000000001,-8.607499999999899
41.14200000000001,-8.606999999999898
41.14200000000001,-8.606499999999897
41.14200000000001,-8.605999999999897
41.14200000000001,-8.605499999999896
41.14200000000001,-8.604999999999896
41.14200000000001,-8.604499999999895
41.14200000000001,-8.603999999999894
41.14200000000001,-8.603499999999894
41.14200000000001,-8.602999999999893
41.14200000000001,-8.602499999999893
41.14200000000001,-8.601999999999892
41.14200000000001,-8.601499999999891
41.14200000000001,-8.60099999999989
41.14200000000001,-8.60049999999989
41.14200000000001,-8.59999999999989
41.14200000000001,-8.599499999999889
41.14200000000001,-8.598999999999888
41.14200000000001,-8.598499999999888
41.14200000000001,-8.597999999999887
41.14200000000001,-8.597499999999886
41.14200000000001,-8.596999999999886
41.14200000000001,-8.596499999999885
41.14200000000001,-8.595999999999885
41.14200000000001,-8.595499999999884
41.14200000000001,-8.594999999999883
41.14200000000001,-8.594499999999883
41.14200000000001,-8.593999999999882
41.14200000000001,-8.593499999999882
41.14200000000001,-8.592999999999881
41.14200000000001,-8.59249999999988
41.14200000000001,-8.59199999999988
41.14200000000001,-8.59149999999988
41.14200000000001,-8.590999999999879
41.14200000000001,-8.590499999999878
41.14200000000001,-8.589999999999877
41.14200000000001,-8.589499999999877
41.14200000000001,-8.588999999999876
41.14200000000001,-8.588499999999875
41.14200000000001,-8.587999999999875
41.14200000000001,-8.587499999999874
41.14200000000001,-8.586999999999874
41.14200000000001,-8.586499999999873
41.14200000000001,-8.585999999999872
41.14200000000001,-8.585499999999872
41.14200000000001,-8.580499999999866
41.14200000000001,-8.579999999999865
41.14200000000001,-8.579499999999864
41.14200000000001,-8.578999999999864
41.14200000000001,-8.578499999999863
41.14200000000001,-8.577999999999863
41.14200000000001,-8.577499999999862
41.14200000000001,-8.576999999999861
41.14200000000001,-8.57649999999986
41.14200000000001,-8.57599999999986
41.14200000000001,-8.57549999999986
41.14200000000001,-8.574999999999859
41.14250000000001,-8.622999999999918
41.14250000000001,-8.622499999999917
41.14250000000001,-8.621999999999916
41.14250000000001,-8.621499999999916
41.14250000000001,-8.620999999999915
41.14250000000001,-8.620499999999915
41.14250000000001,-8.619999999999914
41.14250000000001,-8.619499999999913
41.14250000000001,-8.618999999999913
41.14250000000001,-8.618499999999912
41.14250000000001,-8.617999999999912
41.14250000000001,-8.617499999999911
41.14250000000001,-8.61699999999991
41.14250000000001,-8.61649999999991
41.14250000000001,-8.615999999999909
41.14250000000001,-8.615499999999908
41.14250000000001,-8.614999999999908
41.14250000000001,-8.614499999999907
41.14250000000001,-8.613999999999907
41.14250000000001,-8.613499999999906
41.14250000000001,-8.612999999999905
41.14250000000001,-8.612499999999905
41.14250000000001,-8.611999999999904
41.14250000000001,-8.611499999999904
41.14250000000001,-8.610999999999903
41.14250000000001,-8.610499999999902
41.14250000000001,-8.609999999999902
41.14250000000001,-8.609499999999901
41.14250000000001,-8.6089999999999
41.14250000000001,-8.6084999999999
41.14250000000001,-8.6079999999999
41.14250000000001,-8.607499999999899
41.14250000000001,-8.606999999999898
41.14250000000001,-8.606499999999897
41.14250000000001,-8.605999999999897
41.14250000000001,-8.605499999999896
