,objectid,codigo,coord_x,coord_y,tipo,n_policia,observacao,fotos,morada,concelho,freguesia,zonam_and,descricao,name,cod_gis,cod_topo,cod_freg,n_ordem,cod_sgr,x,y
86,5125,ACBL1,156084.87052122,457523.37286885,postalete, , ,D:\SIG\FOTOS\ACBL1.TIF,AVENIDA INFANTE SAGRES,VILA NOVA DE GAIA,VALADARES,S2,ÁLVARES CABRAL,Álvares Cabral,,,,,,-8.655774836916098,41.08564299166654
87,5126,ACBL2,156096.36003126,457533.19667411,com painel abrigo, , ,D:\SIG\FOTOS\ACBL2.TIF,AVENIDA INFANTE SAGRES,VILA NOVA DE GAIA,VALADARES,S2,ÁLVARES CABRAL,Álvares Cabral,,,,,,-8.655638811339607,41.08573206792265
88,5127,ACD1,153694.02501945,467885.79001143,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\ACD 1.TIF,AVENIDA MENERES,MATOSINHOS,MATOSINHOS,C3,AFONSO CORDEIRO,Afonso Cordeiro,,,,,,-8.685010672753792,41.178811759177584
89,5128,ACD3,153523.97000382,468058.22500112,com painel abrigo,535, ,D:\SIG\FOTOS\ACD 3.TIF,AVENIDA REPUBLICA,MATOSINHOS,MATOSINHOS,C3,AFONSO CORDEIRO,Afonso Cordeiro,,,,,,-8.687050367986084,41.180354550246214
90,5129,ACD4,153594.66253032,468040.39235857,postalete,582, ,D:\SIG\FOTOS\ACD 4.TIF,AVENIDA REPUBLICA,MATOSINHOS,MATOSINHOS,C3,AFONSO CORDEIRO,Afonso Cordeiro,,,,,,-8.686206540278327,41.18019805654261
91,5130,ACDR1,160032.52041906,460120.59899405,postalete, , ,D:\SIG\FOTOS\ACDR1.TIF,RUA CORUJEIRAS,VILA NOVA DE GAIA,MAFAMUDE,S8,ALAM.CEDRO,Alam. Cedro,,,,,,-8.608965545602214,41.10923288099721
92,5131,ACDR2,160042.92310076,460126.48015149,com painel abrigo, , ,D:\SIG\FOTOS\ACDR2.TIF,RUA CORUJEIRAS,VILA NOVA DE GAIA,MAFAMUDE,S8,ALAM.CEDRO,Alam. Cedro,,,,,,-8.608842088008593,41.10928634875563
93,5132,ACN1,159938.70248322,466256.16489313,postalete, ,1,D:\SIG\FOTOS\ACN 1.TIF,RUA ANTONIO CANDIDO,PORTO,CEDOFEITA,C1,ANTÓNIO CÂNDIDO,António Cândido,04011300001,RACAN0,04,00001,0113,-8.610484460022322,41.164472901226546
94,5133,CONS1,160288.41574093,466181.94734321,postalete, , ,D:\SIG\FOTOS\ACN 2.TIF,RUA FARIA GUIMARAES,PORTO,PARANHOS,C1,CONSTITUIÇÃO,Constituição,10011300117,RFGUI0,10,00117,0113,-8.606312931626531,41.163821904406035
95,5134,ACRD1,157464.21562958,465755.37157423,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\ACRD1.TIF,AVENIDA BOAVISTA,PORTO,LORDELO DO OURO,C1,ANTÓNIO CARDOSO,António Cardoso,06011300003,ABOAV0,06,00003,0113,-8.63993220826493,41.15983731268674
96,5135,ACRD2,157455.47211107,465731.27805197,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\ACRD2.TIF,AVENIDA BOAVISTA,PORTO,LORDELO DO OURO,C1,ANTÓNIO CARDOSO,António Cardoso,06011300004,ABOAV0,06,00004,0113,-8.640034699668313,41.15961991710055
97,5136,APT1,157382.23605358,465678.03000202,com painel abrigo, , ,D:\SIG\FOTOS\ACRD3.TIF,RUA ANTONIO CARDOSO,PORTO,LORDELO DO OURO,C1,ANTÓNIO PATRÍCIO,António Patrício,06011300005,RACAR0,06,00005,0113,-8.640903502884367,41.15913661677237
98,5137,ACST2,160680.56364297,466479.10776343,postalete, ,1,D:\SIG\FOTOS\ACST2.TIF,TRAVESSA ALVARO DE CASTELOES,PORTO,PARANHOS,C1,ÁLVARO CASTELÕES,Álvaro Castelões,10011300163,TACAS0,10,00163,0113,-8.601659792498307,41.16651669313421
99,5138,ADA1,159647.80312797,467068.02561892,postalete, ,1,D:\SIG\FOTOS\ADA 1.TIF,RUA MONSANTO,PORTO,PARANHOS,C1,ARCA D ÁGUA,Arca d Água,10011300131,RMONS0,10,00131,0113,-8.614004009879094,41.17176836835464
100,5139,ADA2,159637.14710861,467080.88863664,postalete, ,1,D:\SIG\FOTOS\ADA 2.TIF,RUA MONSANTO,PORTO,PARANHOS,C1,ARCA D ÁGUA,Arca d Água,10011300132,RMONS0,10,00132,0113,-8.614131835936213,41.17188365343537
101,5140,AR2,160417.32113232,469567.53000521,postalete,391, ,D:\SIG\FOTOS\AR  2.TIF,RUA MOALDE,MATOSINHOS,S. MAMEDE DE INFESTA,C5,ALMIRANTE REIS,Almirante Reis,,,,,,-8.604996347504207,41.19431181957608
