,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
24,25,RSNOR0,,222051158, ,Restaurante Solar Moinho de Vento,Especialidades da Casa: Arroz de polvo;Tripas à moda do Porto; Bacalhau assado na brasa; Cozido à portuguesa,15080100007,15,0801,00007,1245628800000,rafaeldias,81,Aberto  das 12:00 ás 23:00 encerra ao Sábado,-8.615302881720524,41.14812181118218
25,26,RCOUT0,,226094310, ,Restaurante Pizzeria Meidin,Capacidade para 100 pessoas; Especialidades da Casa: Pizzas; Massas; Crepes; Gelados; Saladas,04080100007,04,0801,00007,1245628800000,rafaeldias,262,Aberto  das 12:00 ás 24:00,-8.631483349716902,41.16084444046527
26,27,RSCAT0,,223321922, ,Restaurante Pizzeria Meidin,Capacidade para 100 pessoas; Especialidades da Casa: Pizzas; Massas; Crepes; Gelados; Saladas,12080100013,12,0801,00013,1245628800000,rafaeldias,949,Aberto  das 12:00 ás 24:00,-8.60488486548704,41.15455783612138
27,28,RDPSO0,,226172917, ,Restaurante Guizé,Capacidade para 60 pessoas; Especialidades da Casa: Picanha; Arroz de pato,11080100005,11,0801,00005,1245628800000,rafaeldias,569,Aberto das 09:30 ás 24:00 encerra ao Domingo,-8.653187683640446,41.17218445645051
28,29,RBONJ0,,222006465, ,Restaurante Regaleira,Capacidade para 97 pessoas; Especialidades da Casa: Francesinhas; Bacalhau; Tripas à moda do Porto,12080100012,12,0801,00012,1245628800000,rafaeldias,87,Aberto  das 12:00 ás 24:00 encerra ao Sábado,-8.60969809386235,41.14713308862491
29,30,RALEG1,,225370717, ,Restaurante Portucale,Capacidade para 60 pessoas; Especialidades da Casa: Lombos de pescada à moda do chefe; Robalo assado com espargos,02080100009,02,0801,00009,1245628800000,rafaeldias,598,Aberto  das 12:30 ás 14:30 e das 19:30 ás 23:30,-8.602456251533827,41.155858211714296
30,31,RPGAM0,,226185006, ,Restaurante Varanda da Barra,Capacidade para 90 pessoas; Especialidades da Casa: Cozinha Portuguesa; Cozinha Italiana,06080100008,06,0801,00008,1245628800000,rafaeldias,470,Aberto  das 12:30 ás 14:45 e das 20:00 ás 23:30 encerra a Segunda,-8.65807653424827,41.148311370710815
31,32,ABOAV0,,226086600, ,Restaurante Madruga,Capacidade para 150 pessoas; Especialidades da Casa: Lombo de tamboril com molho e mostarda antiga,06080100009,06,0801,00009,1245628800000,rafaeldias,1269,Aberto  das 12:30 ás 15:00 e das 19:00 ás 23:30,-8.638682127923415,41.159350585761665
32,33,RSERR0,,225322100, ,Restaurante Jardim de Inverno,Capacidade para 150 pessoas,06080100010,06,0801,00010,1245628800000,rafaeldias,124,Aberto  das 12:30 ás 15:00 e das 20:00 ás 23:30,-8.649968023288926,41.15441029569527
33,34,RSCAT0,,222076690, ,Restaurante Renascença,"Capacidade para 150 pessoas; Especialidades da Casa: Bacalhau à moda da casa; Cozinha nacional, regional, internacional; Buffet",12080100024,12,0801,00024,1245628800000,rafaeldias,197,Aberto  das 12:30 ás 15:30 e das 19:30 ás 22:30,-8.606630796813379,41.14791986505188
