	objectid	name	cod_gis	x	y
0	1	Centro Comercial Aviz	01070100001	-8.66483122156132	41.163486448240576
1	2	Centro Comercial Cidade do Porto	07070100001	-8.629757777469163	41.15523662391236
2	3	Centro Comercial - Galerias Penísula	07070100002	-8.63014783986757	41.15664059616681
3	4	Centro Comercial Campo Alegre	06070100001	-8.646886619775712	41.15388996324749
4	5	Centro Comercial Brasília	04070100001	-8.627170718379336	41.15702562538931
5	6	Centro Comercial Itália	04070100002	-8.626617845258465	41.155699517888195
6	7	Centro Comercial - Clérigos Shopping	15070100001	-8.614839353791002	41.14619905765989
7	8	Centro Comercial - Via Catarina	12070100001	-8.605257685341902	41.14875713273442
8	9	Centro Comercial - Central Shopping	02070100001	-8.598245568985286	41.151261458904585
