	objectid	name	cod_gis	x	y
68	69	"Igreja de Santo António dos Congregados de S. Filipe de Nery
"	12050100004	-8.610701186481954	41.14630400797492
69	70	Capela do Divino Coração de Jesus (Capela dos Pestanas)	12050100006	-8.611797752673425	41.15329358077776
70	71	Igreja e Nossa Senhora do Perpétuo Socorro (Igreja dos Missionários Redentoristas)	12050100007	-8.603435974748969	41.15057856601592
71	72	Igreja da Senhora da Conceição (Igreja do Marquês)	12050100008	-8.605648891068368	41.1613818960748
72	73	"Capela dos Alfaiates ou de Nossa Senhora de Agosto (propriedade municipal)
"	14050100001	-8.607450078543428	41.14324621086538
73	74	"Igreja da Ordem do Terço (Venerável Irmandade de N. Senhora do Terço e Caridade)
"	14050100002	-8.608199543284158	41.144654340760226
74	75	"Igreja de Santa Clara
"	14050100003	-8.609176316603781	41.14249682148245
75	76	Igreja de Jesus Cristo dos Santos dos Últimos	10050100007	-8.594178492937617	41.16399597970625
76	77	Sekai Kyusei Kyo de Portugal - Igreja Messiânica Mundial de Portugal	10050100008	-8.598733105873022	41.168547876106345
77	78	Igreja de Jesus Cristo dos Santos dos Últimos Dias	10050100010	-8.593259118968039	41.164956168317104
78	79	Igreja Evangélica Assembleia de Deus	10050100011	-8.621606260310783	41.16769967657783
79	80	Igreja Universal do Reino de Deus	10050100012	-8.61294233451563	41.166384646245575
80	81	Congregação Cristã em Portugal	10050100013	-8.584178935275828	41.18052948476578
81	82	Centro Redentor Filial Porto	02050100010	-8.598201359774567	41.14986728947617
82	83	Igreja Adventista do Sétimo Dia	02050100011	-8.596973140363014	41.14717424831019
83	84	Igreja Baptista das Antas	02050100012	-8.595672465801961	41.15754374360179
84	85	Segunda Igreja Baptista do Porto	02050100013	-8.601574123886092	41.15349174332606
85	86	Mesquita Hazrat Billal	02050100016	-8.59316546341528	41.14633295348886
86	87	Congregação Cristã  em Portugal	03050100012	-8.587579377594123	41.15754345069475
87	88	Congregação Cristã em Portugal	03050100013	-8.574223806018274	41.14444766715434
88	89	Testemunhas de Jeová 	03050100014	-8.590685295614366	41.161258048550174
89	90	Igreja de Jesus Cristo dos Santos dos Últimos Dias	03050100015	-8.580315720522892	41.15886267527186
90	91	Testemunhas de Jeová 	03050100016	-8.587496208090194	41.14821156590831
91	92	Igreja de Jesus Cristo dos Santos dos Últimos Dias	02050100015	-8.598455948660424	41.161026162239644
92	93	Igreja do Nazareno	04050100014	-8.628537232482193	41.16124747584257
93	94	Testemunhas de Jeová 	11050100009	-8.654777989371068	41.164730309308894
94	95	Igreja Baptista Esperança	12050100011	-8.60256062736301	41.14917256194719
95	96	Sinagoga Kadooric	07050100006	-8.637002952934724	41.15594330423346
96	97	Testemunhas de Jeová 	05050100008	-8.66607298327717	41.159145251389475
97	98	Igreja Evangélica de Aldoar	01050100004	-8.665081716460389	41.17133748467941
98	99	Congregação Cristã em Portugal	13050100009	-8.614411625513334	41.141431042795354
99	100	Igreja Evangélica Belomonte	13050100010	-8.616097630653142	41.142711786243886
100	101	Testemunhas de Jeová 	07050100008	-8.62332921228212	41.14936392250877
101	102	Tabernáculo Baptista (Primeira Igreja Baptista do Porto)	07050100009	-8.630614123474164	41.15757519200399
102	103	British Church of St. James	07050100010	-8.623931610709063	41.150448257534954
