,objectid,name,cod_gis,x,y
0,1,Sucata,10430400001,-8.60399886196781,41.184912365471
1,2,Sucata,2430400001,-8.58936771941212,41.1489382596735
2,3,Sucata,10430400002,-8.59289147814649,41.1772050261542
3,4,Sucata,10430400003,-8.57225845762703,41.1783539255834
4,5,Sucata,3430400001,-8.57576778607673,41.1746343910013
5,6,Sucata,2430400002,-8.59435211807496,41.1452255583178
6,7,Sucata,3430400002,-8.57579766794936,41.1447233200355
7,8,Sucata,3430400003,-8.57066567614432,41.1490261167589
8,9,Sucata,3430400004,-8.55466750125429,41.1549468963624
